UsingModule;Table;C;R;U;D;HostingModule;Service Description 
auxiliary;RCHQS;;x;;;Cash_Management;
Account_Management;RCHRO;;x;;;Cash_Management;
CORE;RCHRO;;x;;;Cash_Management;
auxiliary;RCHRO;;x;;;Cash_Management;
General_Ledger;REFFL;x;;x;;CORE;
Account_Management;REFFL;x;;x;;CORE;
Lending;REFFL;x;;x;;CORE;
Financial_Markets;REFFL;x;;x;;CORE;
Cash_Management;REFFL;x;;x;;CORE;
auxiliary;REFFL;x;;x;;CORE;
General_Ledger;RPDEF;x;;x;;auxiliary;
Account_Management;RPDEF;x;;x;;auxiliary;
Lending;RPDEF;x;;x;;auxiliary;
Financial_Markets;RPDEF;x;;x;;auxiliary;
Cash_Management;RPDEF;x;;x;;auxiliary;
CORE;RPDEF;x;;x;;auxiliary;
General_Ledger;RPSCH;;;x;;auxiliary;
Account_Management;RPSCH;;;x;;auxiliary;
Lending;RPSCH;;;x;;auxiliary;
Financial_Markets;RPSCH;;;x;;auxiliary;
Cash_Management;RPSCH;;;x;;auxiliary;
CORE;RPSCH;;;x;;auxiliary;
