UsingModule;Table;C;R;U;D;HostingModule;Service Description 
auxiliary;IBDHO;;x;;;Financial_Markets;
Account_Management;ICBRO;x;x;;x;Financial_Markets;
auxiliary;ICBRO;x;x;;x;Financial_Markets;
Financial_Markets;ICNDO;x;x;x;;Cash_Management;
CORE;ICNDO;x;x;x;;Cash_Management;
auxiliary;ICNDO;x;x;x;;Cash_Management;
Account_Management;ICNFO;;x;;;Cash_Management;
Financial_Markets;ICNFO;;x;;;Cash_Management;
CORE;ICNFO;;x;;;Cash_Management;
auxiliary;ICNFO;;x;;;Cash_Management;
General_Ledger;ICNFS;;x;;;Cash_Management;
Account_Management;ICNFS;;x;;;Cash_Management;
Lending;ICNFS;;x;;;Cash_Management;
Financial_Markets;ICNFS;;x;;;Cash_Management;
CORE;ICNFS;;x;;;Cash_Management;
auxiliary;ICNFS;;x;;;Cash_Management;
Financial_Markets;ICOPL;x;;;;Cash_Management;
Financial_Markets;ICOPO;;x;x;;Cash_Management;
CORE;ICOPO;;x;x;;Cash_Management;
auxiliary;ICOPO;;x;x;;Cash_Management;
Account_Management;ICVBS;;x;;x;Financial_Markets;
CORE;ICVBS;;x;;x;Financial_Markets;
auxiliary;ICVBS;;x;;x;Financial_Markets;
auxiliary;IDPLO;;x;;;General_Ledger;
CORE;IERBS;;x;;;Financial_Markets;
auxiliary;IERBS;;x;;;Financial_Markets;
Financial_Markets;IERMO;;x;;x;auxiliary;
CORE;IERMO;;x;;x;auxiliary;
CORE;IFASO;;x;;;Financial_Markets;
auxiliary;IFASO;;x;;;Financial_Markets;
CORE;IFCPO;x;x;x;x;Financial_Markets;
auxiliary;IFCPO;x;x;x;x;Financial_Markets;
Financial_Markets;IFCSL;;x;;;Cash_Management;
Account_Management;IFCSO;;x;x;;Cash_Management;
Financial_Markets;IFCSO;;x;x;;Cash_Management;
auxiliary;IFCSO;;x;x;;Cash_Management;
CORE;IFFCL;x;;;;auxiliary;
CORE;IFFCO;;x;;;Financial_Markets;
auxiliary;IFFCO;;x;;;Financial_Markets;
Financial_Markets;IFFDL;x;;;;Financial_Markets;
CORE;IFFDO;;;x;;Financial_Markets;
auxiliary;IFFDO;;;x;;Financial_Markets;
CORE;IFFOO;;x;;;Financial_Markets;
auxiliary;IFFOO;;x;;;Financial_Markets;
CORE;IFFTO;;x;;;Financial_Markets;
CORE;IFFVO;x;x;x;;Financial_Markets;
CORE;IFPSO;;x;;;Financial_Markets;
auxiliary;IFPSO;;x;;;Financial_Markets;
Financial_Markets;IFRAL;;x;;;Financial_Markets;
Account_Management;IFRAO;;x;;;Financial_Markets;
Lending;IFRAO;;x;;;Financial_Markets;
CORE;IFRAO;;x;;;Financial_Markets;
auxiliary;IFRAO;;x;;;Financial_Markets;
auxiliary;IFRCL;;x;;;Financial_Markets;
auxiliary;IFRCO;;x;;;Financial_Markets;
auxiliary;IFRPL;;x;;;Financial_Markets;
CORE;IFRPO;;x;;;Financial_Markets;
auxiliary;IFRPO;;x;;;Financial_Markets;
CORE;IFTCO;x;x;x;x;Financial_Markets;
auxiliary;IFTCO;x;x;x;x;Financial_Markets;
CORE;IFTSO;x;x;;x;Financial_Markets;
Account_Management;IFUPS;;x;;;Cash_Management;
CORE;IFUPS;;x;;;Cash_Management;
auxiliary;IFUPS;;x;;;Cash_Management;
CORE;IFXAO;x;x;;;Financial_Markets;
auxiliary;IFXAO;x;x;;;Financial_Markets;
CORE;IFXCL;x;;;;Financial_Markets;
auxiliary;IFXCL;x;;;;Financial_Markets;
Account_Management;IFXCO;;x;x;;Financial_Markets;
Lending;IFXCO;;x;x;;Financial_Markets;Get Agreement info (foreign currency)
CORE;IFXCO;;x;x;;Financial_Markets;
auxiliary;IFXCO;;x;x;;Financial_Markets;
Financial_Markets;IFXPL;x;;;;Financial_Markets;
Account_Management;IFXPO;;x;;;Financial_Markets;
CORE;IFXPO;;x;;;Financial_Markets;
auxiliary;IFXPO;;x;;;Financial_Markets;
Account_Management;IGIRO;;x;x;;Financial_Markets;
Lending;IGIRO;;x;x;;Financial_Markets;
CORE;IGIRO;;x;x;;Financial_Markets;
auxiliary;IGIRO;;x;x;;Financial_Markets;
Account_Management;IGLDO;;x;x;;Financial_Markets;
Lending;IGLDO;;x;x;;Financial_Markets;"Get Lending Contract Info (move to ""Lending"" ???)"
CORE;IGLDO;;x;x;;Financial_Markets;
auxiliary;IGLDO;;x;x;;Financial_Markets;
Account_Management;IHMCL;x;;;;auxiliary;
Account_Management;IHMCS;;x;;;auxiliary;
Financial_Markets;IHMCS;;x;;;auxiliary;
CORE;IHMCS;;x;;;auxiliary;
Account_Management;IICSO;;x;;x;Financial_Markets;
auxiliary;IICSO;;x;;x;Financial_Markets;
CORE;IIFFO;x;;;;Financial_Markets;
auxiliary;IIFFO;x;;;;Financial_Markets;
General_Ledger;IIFRO;x;x;x;x;Financial_Markets;
CORE;IIFRO;x;x;x;x;Financial_Markets;
