module;contains;element;name
General_Ledger;contains;[P]program;PXGDCS102
General_Ledger;contains;[P]program;PXGDCS103
General_Ledger;contains;[P]program;PXGDCS104
General_Ledger;contains;[P]program;PXGDCSAMP
General_Ledger;contains;[P]program;PXGMVO101
General_Ledger;contains;[P]program;PXGMVO102
General_Ledger;contains;[P]program;PXGMVO103
General_Ledger;contains;[P]program;PXGMVO104
General_Ledger;contains;[P]program;PXGMVO105
General_Ledger;contains;[P]program;PXGPAO101
General_Ledger;contains;[P]program;PXGPAO102
General_Ledger;contains;[P]program;PXGPAO103
General_Ledger;contains;[P]program;PXGPMO101
General_Ledger;contains;[P]program;PXGPMO103
General_Ledger;contains;[P]program;PXHVBO101
General_Ledger;contains;[R]program;WPABKTSGVC
General_Ledger;contains;[I]program;XFXA5
General_Ledger;contains;[I]program;XFXAS
General_Ledger;contains;[I]program;XFXTO
General_Ledger;contains;[I]program;XGACM
General_Ledger;contains;[I]program;XGACS
General_Ledger;contains;[I]program;XGCAS
General_Ledger;contains;[I]program;XGDC1
General_Ledger;contains;[I]program;XGDC4
General_Ledger;contains;[I]program;XGDCS
General_Ledger;contains;[I]program;XGDSM
General_Ledger;contains;[I]program;XGEFM
General_Ledger;contains;[I]program;XGEFS
General_Ledger;contains;[I]program;XGMCM
General_Ledger;contains;[I]program;XGMCS
General_Ledger;contains;[I]program;XGPML
General_Ledger;contains;[I]program;XGPMO
General_Ledger;contains;[I]program;XGSAM
General_Ledger;contains;[R]program;XLACCRLIST
General_Ledger;contains;[R]program;XLBALANCE
General_Ledger;contains;[R]program;XLCREBIG
General_Ledger;contains;[R]program;XLDLLGEX
General_Ledger;contains;[R]program;XLEXPFLIST
General_Ledger;contains;[R]program;XLINVCLIST
General_Ledger;contains;[R]program;XLPMMBAL
General_Ledger;contains;[R]program;XLPREPLIST
General_Ledger;contains;[R]program;XLSUMRCE
General_Ledger;contains;[R]program;XLSUMRCERB
General_Ledger;contains;[R]program;XLSUMROOT
General_Ledger;contains;[R]program;XLSUMROT2
General_Ledger;contains;[R]program;XLSUMRUB
General_Ledger;contains;[R]program;XLSUMRUBRC
General_Ledger;contains;[R]program;XLTOTRBRC2
General_Ledger;contains;[R]program;XLTOTRCE
General_Ledger;contains;[R]program;XLTOTRCERB
General_Ledger;contains;[R]program;XLTOTRUB
General_Ledger;contains;[R]program;XLTOTRUB2
General_Ledger;contains;[R]program;XLTOTRUBRC
General_Ledger;contains;[R]program;XLTOTVAT
General_Ledger;contains;[G]program;XP-001SUPPMMBAL
General_Ledger;contains;[R]program;XULOADMISC
General_Ledger;contains;[I]program;ZBKT5
Account_Management;contains;table;ADEIO
Account_Management;contains;table;ADETS
Account_Management;contains;table;AEVTO
Account_Management;contains;table;AHLBO
Account_Management;contains;table;AHVBO
Account_Management;contains;table;AISTO
Account_Management;contains;table;AMVTO
Account_Management;contains;table;ANTUS
Account_Management;contains;table;ARESS
Account_Management;contains;table;ARETO
Account_Management;contains;table;ASPAS
Account_Management;contains;table;ATAXO
Account_Management;contains;table;ATMPO
Account_Management;contains;table;ATRDO
Account_Management;contains;table;ATXCO
Account_Management;contains;table;DBILO
Account_Management;contains;table;DCTRO
Account_Management;contains;table;DFSIL
Account_Management;contains;table;DGCAL
Account_Management;contains;table;DRPTO
Account_Management;contains;table;GPRTO
Account_Management;contains;table;IBATO
Account_Management;contains;table;IINTO
Account_Management;contains;table;LBROS
Account_Management;contains;table;LCBNS
Account_Management;contains;table;LCORO
Account_Management;contains;table;LCPSS
Account_Management;contains;table;LCTIO
Account_Management;contains;table;LCTPS
Account_Management;contains;table;LCTSO
Account_Management;contains;table;LELCS
Account_Management;contains;table;LELIO
Account_Management;contains;table;LPHIO
Account_Management;contains;table;LPHYS
Account_Management;contains;table;LPSNS
Account_Management;contains;[I]program;AC2IC
Account_Management;contains;[I]program;ACHAC
Account_Management;contains;[I]program;ACHIF
Account_Management;contains;[I]program;ACNVC
Account_Management;contains;[I]program;ADBA1
Account_Management;contains;[I]program;ADBA2
Account_Management;contains;[I]program;ADEI5
Account_Management;contains;[I]program;ADEIC
Account_Management;contains;[I]program;ADEIF
Account_Management;contains;[I]program;ADEIO
Account_Management;contains;[I]program;ADET1
Account_Management;contains;[I]program;ADET4
Account_Management;contains;[I]program;ADET5
Account_Management;contains;[I]program;ADETL
Account_Management;contains;[I]program;ADETS
Account_Management;contains;[I]program;ADLG1
Account_Management;contains;[I]program;ADLGS
Account_Management;contains;[I]program;AEV1C
Account_Management;contains;[I]program;AEVT5
Account_Management;contains;[I]program;AHLB4
Account_Management;contains;[I]program;AHLBO
Account_Management;contains;[I]program;AHLP2
Account_Management;contains;[I]program;AHVB4
Account_Management;contains;[I]program;AHVB5
Account_Management;contains;[I]program;AHVB6
Account_Management;contains;[I]program;AHVBO
Account_Management;contains;[I]program;AINIC
Account_Management;contains;[I]program;AINIF
Account_Management;contains;[I]program;AINT1
Account_Management;contains;[I]program;AINTS
Account_Management;contains;[I]program;AJST5
Account_Management;contains;[I]program;AJSTC
Account_Management;contains;[R]program;ALADLGS
Account_Management;contains;[R]program;ALBILHOF
Account_Management;contains;[R]program;ALCONDCUST
Account_Management;contains;[R]program;ALCPLBAL
Account_Management;contains;[R]program;ALCUSBAL
Account_Management;contains;[R]program;ALDLCBITMV
Account_Management;contains;[R]program;ALDLCUSBAL
Account_Management;contains;[R]program;ALDLLADETS
Account_Management;contains;[R]program;ALDLLAWV
Account_Management;contains;[R]program;ALDLLCPCA
Account_Management;contains;[R]program;ALDLLCUSAC
Account_Management;contains;[R]program;ALDLLCUST
Account_Management;contains;[R]program;ALDLLINT
Account_Management;contains;[R]program;ALDLLINT2
Account_Management;contains;[R]program;ALDLLLCBNS
Account_Management;contains;[R]program;ALDLLTOTB
Account_Management;contains;[R]program;ALDLREPFFT
Account_Management;contains;[R]program;ALDLSUMVT
Account_Management;contains;[R]program;ALDRMACC
Account_Management;contains;[R]program;ALGENINTCD
Account_Management;contains;[R]program;ALINTINT
Account_Management;contains;[R]program;ALMVTREP4
Account_Management;contains;[R]program;ALOVDETS
Account_Management;contains;[R]program;ALRTBKELIS
Account_Management;contains;[R]program;ALSIHINT
Account_Management;contains;[R]program;ALTAXHST
Account_Management;contains;[R]program;ALTAXKOL
Account_Management;contains;[I]program;AMVT5
Account_Management;contains;[I]program;AMVT6
Account_Management;contains;[I]program;AMVT9
Account_Management;contains;[I]program;AMVTM
Account_Management;contains;[I]program;ANCPM
Account_Management;contains;[I]program;ANEUM
Account_Management;contains;[I]program;ANOS1
Account_Management;contains;[I]program;ANOSC
Account_Management;contains;[I]program;ANTU4
Account_Management;contains;[I]program;ANTUL
Account_Management;contains;[I]program;APBO5
Account_Management;contains;[I]program;APBOM
Account_Management;contains;[I]program;AREI5
Account_Management;contains;[I]program;AREIC
Account_Management;contains;[I]program;AREIF
Account_Management;contains;[I]program;AREIO
Account_Management;contains;[I]program;ARES1
Account_Management;contains;[I]program;ARES4
Account_Management;contains;[I]program;ARESL
Account_Management;contains;[I]program;ARESS
Account_Management;contains;[I]program;ARETC
Account_Management;contains;[I]program;ARETL
Account_Management;contains;[I]program;ARETO
Account_Management;contains;[I]program;ASPAL
Account_Management;contains;[I]program;ASPAM
Account_Management;contains;[I]program;ASPAS
Account_Management;contains;[I]program;ASPIF
Account_Management;contains;[I]program;ASPIM
Account_Management;contains;[I]program;ASPIO
Account_Management;contains;[I]program;ASTMO
Account_Management;contains;[I]program;ATAX5
Account_Management;contains;[I]program;ATAXM
Account_Management;contains;[I]program;ATLLM
Account_Management;contains;[I]program;ATXC5
Account_Management;contains;[R]program;AUAUDINVCE
Account_Management;contains;[R]program;AUCHACAL
Account_Management;contains;[R]program;AUCLNADETS
Account_Management;contains;[R]program;AUCLNHVB
Account_Management;contains;[R]program;AUCLSACC
Account_Management;contains;[R]program;AUCLSNOS
Account_Management;contains;[R]program;AUCNVACC
Account_Management;contains;[R]program;AUDACBAL
Account_Management;contains;[R]program;AUINTCAL
Account_Management;contains;[R]program;AUINTCFD
Account_Management;contains;[R]program;AULDNCPINT
Account_Management;contains;[R]program;AUMVTCLN
Account_Management;contains;[R]program;AUSTMKOC
Account_Management;contains;[R]program;AUSTMLOJ
Account_Management;contains;[R]program;AUSTMPR2
Account_Management;contains;[R]program;AUSTMPRC
Account_Management;contains;[R]program;AUTLLWP
Account_Management;contains;[I]program;BIS2C
Account_Management;contains;[I]program;CC3PM
Account_Management;contains;[I]program;CCMHL
Account_Management;contains;[I]program;CCMHO
Account_Management;contains;[I]program;CCOCM
Account_Management;contains;[I]program;CCRE5
Account_Management;contains;[I]program;CCUSC
Account_Management;contains;[I]program;CDFAO
Account_Management;contains;[I]program;CEXP5
Account_Management;contains;[I]program;CEXPS
Account_Management;contains;[I]program;CFAC6
Account_Management;contains;[I]program;CFACL
Account_Management;contains;[I]program;CFAIO
Account_Management;contains;[I]program;CGUA5
Account_Management;contains;[I]program;CGUCM
Account_Management;contains;[G]program;CI-INC-PAYM-CHECK
Account_Management;contains;[G]program;CI-INC-PAYM-INQ
Account_Management;contains;[G]program;CI-OUT-PAYM-CHECK
Account_Management;contains;[G]program;CI-OUT-PAYM-INQ
Account_Management;contains;[R]program;CLCOMWAR
Account_Management;contains;[R]program;CLCPACC
Account_Management;contains;[R]program;CLCPACCT
Account_Management;contains;[R]program;CLCPBVAL
Account_Management;contains;[R]program;CLCPCTP
Account_Management;contains;[R]program;CLCPCTP2
Account_Management;contains;[R]program;CLLSTWAR
Account_Management;contains;[R]program;CLOUTBLEBD
Account_Management;contains;[R]program;CLYRLYTAX
Account_Management;contains;[I]program;CMHIA
Account_Management;contains;[I]program;CMHIC
Account_Management;contains;[I]program;CMHIO
Account_Management;contains;[I]program;CPBC5
Account_Management;contains;[I]program;CPBCA
Account_Management;contains;[I]program;CPBCC
Account_Management;contains;[I]program;CPBCO
Account_Management;contains;[I]program;CRCYM
Account_Management;contains;[I]program;CSE3C
Account_Management;contains;[I]program;CSEC1
Account_Management;contains;[I]program;CSEC4
Account_Management;contains;[I]program;CSEC5
Account_Management;contains;[I]program;CSIMS
Account_Management;contains;[R]program;CUCRSWCM2
Account_Management;contains;[R]program;CUGUACOMA2
Account_Management;contains;[R]program;CUSELPAYM
Account_Management;contains;[R]program;CUSHRDVD
Account_Management;contains;[I]program;DAEQ1
Account_Management;contains;[I]program;DBIL5
Account_Management;contains;[I]program;DBILO
Account_Management;contains;[I]program;DCNBC
Account_Management;contains;[I]program;DDDC6
Account_Management;contains;[I]program;DDDCM
Account_Management;contains;[I]program;DDI2M
Account_Management;contains;[I]program;DDICM
Account_Management;contains;[I]program;DECHM
Account_Management;contains;[I]program;DIONC
Account_Management;contains;[R]program;DLACCBLKPM
Account_Management;contains;[R]program;DLCFATF7AD
Account_Management;contains;[R]program;DLDLCCLCUS
Account_Management;contains;[R]program;DLDLLGPIT
Account_Management;contains;[R]program;DLDLLINTIT
Account_Management;contains;[R]program;DLDLLPBINT
Account_Management;contains;[R]program;DLDLLPBPF
Account_Management;contains;[R]program;DLDLLPNLT
Account_Management;contains;[R]program;DLDLLRECON
Account_Management;contains;[R]program;DLLPHYADR
Account_Management;contains;[R]program;DLLPMTSTAT
Account_Management;contains;[R]program;DLPRINTSTD
Account_Management;contains;[R]program;DLREPIT4
Account_Management;contains;[R]program;DLTRXDWH
Account_Management;contains;[I]program;DMSTM
Account_Management;contains;[I]program;DPEIM
Account_Management;contains;[I]program;DPERM
Account_Management;contains;[I]program;DRPTM
Account_Management;contains;[I]program;DSLV5
